이영희,97,140
서문재희,100,192
유지영,102,165
이지라,91,204
박나라,117,159
탁보경,110,149
유보영,78,143
탁이경,110,196
유재홍,85,165
탁재라,107,205
조나영,62,174
서문은희,117,182
유이현,94,146
박보라,117,186
박은희,102,200
박지라,54,183
박지희,92,178
조지경,73,196
서문이경,93,141
김영희,101,199
유이경,79,144
이보현,94,184
박재조,59,146
김이라,118,168
탁나현,107,151
조영홍,70,152
박이희,90,168
조영조,97,166
김보경,80,144
이보라,60,209
김재홍,108,202
서문은현,104,157
유이희,90,185
이재조,115,199
김영경,42,146
박보영,58,180
유재희,41,140
조재현,93,194
탁보라,61,162
조지홍,115,156
서문은라,103,175
이지홍,44,175
조보경,89,209
박이희,101,193
김보희,77,205
서문재희,89,149
탁보조,60,181
탁보라,108,178
유이조,86,174
서문나현,82,163
김은조,94,154
김보조,108,153
조나경,62,165
탁이홍,84,144
서문영현,89,149
유보희,90,152
유재홍,95,144
서문나영,67,157
이재희,104,208
이나라,102,182
유재현,97,165
유보희,81,185
유영영,66,179
조이홍,117,184
서문영현,48,197
조은홍,48,175
박보경,72,159
조지영,47,147
김은희,103,203
김지경,49,163
탁이라,87,164
김영영,92,160
서문보현,65,151
조이희,105,203
박지희,104,182
서문보현,118,192
서문재영,80,204
김은홍,113,197
탁지홍,98,190
서문보경,50,208
조보영,118,182
서문나경,41,149
이지희,70,151
서문재희,110,166
김재조,53,153
김영영,66,178
김나현,107,155
서문영희,94,193
서문은희,63,202
김영현,86,173
박재조,64,181
조은영,106,146
박나영,49,178
탁영희,75,190
서문재경,67,190
김영현,117,140
유이현,51,151
박나영,87,204
유이홍,57,175
김지경,115,201
이지희,118,174
김영현,80,187
박나경,102,176
탁영조,81,191
이재홍,98,163
박은조,63,163
조보라,114,190
김보현,73,179
김나라,63,189
탁보희,46,158
김지영,119,157
서문은조,79,171
유이라,55,172
김재현,57,180
김보홍,52,175
서문지영,77,150
서문지경,94,183
이은경,114,179
이이홍,98,200
탁보희,113,153
유보영,82,195
박나라,99,166
조은조,71,161
조나조,87,168
유영라,92,209
서문은라,41,143
서문지영,60,176
탁보현,111,152
서문보홍,110,160
유재홍,41,181
이나조,117,154
탁영영,67,178
탁지홍,45,149
이재라,67,181
이나현,85,169
서문재현,119,185
탁영희,99,169
김보조,95,164
박영조,98,142
서문지영,45,189
유영희,91,144
서문재홍,81,169
박지현,55,174
박재조,65,201
탁보홍,42,151
서문지조,118,163
이이영,45,155
조이라,59,201
서문이현,117,201
조보희,55,188
조영조,119,180
탁지라,81,163
조재조,118,154
서문은경,87,149
박이홍,83,204
유보홍,71,197
김지현,112,189
서문이홍,112,161
조나경,73,193
김재라,84,197
탁재영,101,178
조이홍,114,178
조은라,68,153
박나영,53,158
이지영,84,157
서문재경,100,156
김영라,50,164
유은홍,104,203
김나현,79,202
유영희,55,148
서문지희,42,180
유영라,85,204
서문재경,94,156
김지조,44,147
이보영,83,180
이나조,71,205
조은라,40,141
조보조,107,150
박은희,119,202
서문지경,89,203
김은조,66,168
유재희,114,190
탁보경,50,186
박이희,116,164
서문보희,99,161
탁지경,105,180
김영현,96,169
서문나라,94,177
유나영,58,146
탁재희,47,197
조지현,76,164
조나경,80,172
조보홍,53,193
김영희,107,199
유지홍,91,147
박보홍,115,197
박나홍,48,146
박재영,93,143
서문나라,110,197
탁나영,56,189
김이라,58,189
탁나희,51,190
이영현,79,187
박이현,46,173
유지라,100,203
탁재라,97,146
김이라,62,157
탁재라,59,197
이보희,79,153
유보홍,73,195
김재조,54,172
김보경,117,185
유지희,110,205
서문지라,67,185
이은라,102,153
이재홍,87,179
서문보홍,80,179
유나영,56,185
박이조,107,193
김지현,42,176
조은영,56,194
조영홍,73,170
김이영,45,188
탁나영,106,143
박영조,109,208
유영홍,118,190
김지조,109,150
박재경,92,201
서문은현,117,157
서문지경,64,145
김보라,68,186
유이영,73,163
유재희,117,185
조영조,74,144
조재현,104,157
유은희,41,152
박보경,99,202
박이경,119,149
조지경,86,205
김보경,75,175
김지희,96,153
이이라,100,170
박은희,72,197
이지희,91,143
이재현,67,159
서문재영,107,174
탁영조,86,207
박보홍,109,183
탁이홍,107,195
김나조,106,205
조지경,88,158
유은현,69,184
탁재홍,45,208
이지희,55,192
조보조,85,165
이나영,94,169
유이홍,78,203
유영조,72,175
조지희,63,206
김재경,46,180
이재현,48,200
유나희,49,146
서문영라,119,169
서문보희,117,162
조보현,97,203
탁나경,99,208
유나홍,114,155
서문이홍,57,191
박지현,81,141
서문영홍,45,181
서문이라,63,192
조재라,113,161
김은홍,73,141
유보경,52,174
탁보영,102,199
서문보조,73,197
박재라,103,189
이은현,78,169
조이현,49,144
김영현,87,177
이보라,107,166
서문영조,85,170
탁보조,76,199
유재홍,85,162
유재영,94,192
박재영,63,163
탁재조,67,159
조은라,70,196
서문영라,91,173
서문보현,76,189
조재조,107,153
